time-step,new-children-bites,new-adults-bites,new-seniors-bites,new-tourists-children-bites,new-tourists-adults-bites,new-tourists-seniors-bites
224,0,9,5,1,7,6
225,0,9,3,1,8,1
226,2,7,1,0,7,1
227,3,3,1,3,11,2
228,2,12,8,1,7,1
229,2,3,3,1,4,2
230,3,12,0,2,7,2
231,1,12,3,1,13,3
232,1,4,0,1,6,1
233,0,8,3,1,8,3
234,1,4,3,3,12,4
235,4,2,4,2,8,3
236,4,5,2,4,12,2
237,3,8,3,4,10,3
238,3,12,3,2,12,1
239,0,6,1,1,6,3
240,4,1,3,6,14,1
241,3,7,2,3,13,4
242,2,5,2,1,7,4
243,3,11,1,3,11,0
244,4,11,1,3,13,2
245,2,10,6,2,4,1
246,0,4,2,1,8,4
247,2,10,2,5,9,4
248,0,1,2,2,6,5
249,2,2,0,0,6,0
250,3,10,1,3,5,3
251,5,8,2,2,8,1
252,1,8,4,0,0,0
253,0,2,0,0,0,0
254,2,4,2,0,0,0
255,0,5,0,0,0,0
256,4,5,4,0,0,0
257,1,6,3,0,0,0
258,1,8,0,0,0,0
259,3,7,2,0,0,0
260,2,3,2,0,0,0
261,2,9,1,0,0,0
262,0,7,0,0,0,0
263,0,6,5,0,0,0
264,1,12,3,0,0,0
265,1,12,3,0,0,0
266,4,6,6,0,0,0
267,0,8,2,0,0,0
268,0,2,4,0,0,0
269,2,4,1,0,0,0
270,0,7,0,0,0,0
271,0,1,2,0,0,0
272,5,11,2,0,0,0
273,0,6,2,0,0,0
274,3,8,1,0,0,0
275,3,6,4,0,0,0
276,1,2,3,0,0,0
277,2,2,7,0,0,0
278,2,0,2,0,0,0
279,2,9,3,0,0,0
280,3,7,2,0,0,0
281,3,6,4,0,0,0
282,0,3,0,0,0,0
283,0,8,6,0,0,0
284,1,8,4,0,0,0
285,2,5,5,0,0,0
286,1,3,0,0,0,0
287,2,8,2,0,0,0
288,2,5,6,0,0,0
289,2,7,1,0,0,0
290,1,1,0,0,0,0
291,2,5,3,0,0,0
292,0,6,1,0,0,0
293,1,6,1,0,0,0
294,1,9,0,0,0,0
295,0,2,2,0,0,0
296,1,1,3,0,0,0
297,1,8,3,0,0,0
298,2,4,1,0,0,0
299,1,13,4,0,0,0
300,2,7,5,0,0,0
301,2,5,2,0,0,0
302,1,9,2,0,0,0
303,4,7,1,0,0,0
304,2,5,2,0,0,0
305,4,5,4,0,0,0
306,4,10,4,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
311,0,0,0,0,0,0
312,0,0,0,0,0,0
313,0,0,0,0,0,0
314,1,8,2,0,0,0
315,2,8,4,0,0,0
316,2,1,3,0,0,0
317,0,0,0,0,0,0
318,0,6,2,0,0,0
319,5,6,5,0,0,0
320,1,3,2,0,0,0
321,3,10,2,0,0,0
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,0,4,0,0,0,0
329,2,3,1,0,0,0
330,1,15,3,0,0,0
331,2,3,0,0,0,0
332,3,3,3,0,0,0
333,0,0,0,0,0,0
334,0,0,0,0,0,0
335,0,0,0,0,0,0
336,2,1,1,0,0,0
337,0,0,0,0,0,0
338,0,0,0,0,0,0
339,0,0,0,0,0,0
340,2,7,3,0,0,0
341,0,0,0,0,0,0
342,0,0,0,0,0,0
343,0,0,0,0,0,0
344,0,0,0,0,0,0
345,0,0,0,0,0,0
346,0,0,0,0,0,0
347,0,0,0,0,0,0
348,0,0,0,0,0,0
349,0,0,0,0,0,0
350,0,11,4,0,0,0
351,1,2,0,0,0,0
352,1,2,1,0,0,0
353,0,7,1,0,0,0
354,0,0,0,0,0,0
355,0,5,1,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,2,3,3,0,0,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,0,0,0
365,0,0,0,0,0,0
