time-step,total-children-bites,total-adults-bites,total-seniors-bites,total-tourists-children-bites,total-tourists-adults-bites,total-tourists-seniors-bites
222,356,1166,418,183,694,168
223,359,1175,419,184,698,170
224,359,1184,424,185,705,176
225,359,1193,427,186,713,177
226,361,1200,428,186,720,178
227,364,1203,429,189,731,180
228,366,1215,437,190,738,181
229,368,1218,440,191,742,183
230,371,1230,440,193,749,185
231,372,1242,443,194,762,188
232,373,1246,443,195,768,189
233,373,1254,446,196,776,192
234,374,1258,449,199,788,196
235,378,1260,453,201,796,199
236,382,1265,455,205,808,201
237,385,1273,458,209,818,204
238,388,1285,461,211,830,205
239,388,1291,462,212,836,208
240,392,1292,465,218,850,209
241,395,1299,467,221,863,213
242,397,1304,469,222,870,217
243,400,1315,470,225,881,217
244,404,1326,471,228,894,219
245,406,1336,477,230,898,220
246,406,1340,479,231,906,224
247,408,1350,481,236,915,228
248,408,1351,483,238,921,233
249,410,1353,483,238,927,233
250,413,1363,484,241,932,236
251,418,1371,486,243,940,237
252,419,1379,490,243,940,237
253,419,1381,490,243,940,237
254,421,1385,492,243,940,237
255,421,1390,492,243,940,237
256,425,1395,496,243,940,237
257,426,1401,499,243,940,237
258,427,1409,499,243,940,237
259,430,1416,501,243,940,237
260,432,1419,503,243,940,237
261,434,1428,504,243,940,237
262,434,1435,504,243,940,237
263,434,1441,509,243,940,237
264,435,1453,512,243,940,237
265,436,1465,515,243,940,237
266,440,1471,521,243,940,237
267,440,1479,523,243,940,237
268,440,1481,527,243,940,237
269,442,1485,528,243,940,237
270,442,1492,528,243,940,237
271,442,1493,530,243,940,237
272,447,1504,532,243,940,237
273,447,1510,534,243,940,237
274,450,1518,535,243,940,237
275,453,1524,539,243,940,237
276,454,1526,542,243,940,237
277,456,1528,549,243,940,237
278,458,1528,551,243,940,237
279,460,1537,554,243,940,237
280,463,1544,556,243,940,237
281,466,1550,560,243,940,237
282,466,1553,560,243,940,237
283,466,1561,566,243,940,237
284,467,1569,570,243,940,237
285,469,1574,575,243,940,237
286,470,1577,575,243,940,237
287,472,1585,577,243,940,237
288,474,1590,583,243,940,237
289,476,1597,584,243,940,237
290,477,1598,584,243,940,237
291,479,1603,587,243,940,237
292,479,1609,588,243,940,237
293,480,1615,589,243,940,237
294,481,1624,589,243,940,237
295,481,1626,591,243,940,237
296,482,1627,594,243,940,237
297,483,1635,597,243,940,237
298,485,1639,598,243,940,237
299,486,1652,602,243,940,237
300,488,1659,607,243,940,237
301,490,1664,609,243,940,237
302,491,1673,611,243,940,237
303,495,1680,612,243,940,237
304,497,1685,614,243,940,237
305,501,1690,618,243,940,237
306,505,1700,622,243,940,237
307,505,1700,622,243,940,237
308,505,1700,622,243,940,237
309,505,1700,622,243,940,237
310,505,1700,622,243,940,237
311,505,1700,622,243,940,237
312,505,1700,622,243,940,237
313,505,1700,622,243,940,237
314,506,1708,624,243,940,237
315,508,1716,628,243,940,237
316,510,1717,631,243,940,237
317,510,1717,631,243,940,237
318,510,1723,633,243,940,237
319,515,1729,638,243,940,237
320,516,1732,640,243,940,237
321,519,1742,642,243,940,237
322,519,1742,642,243,940,237
323,519,1742,642,243,940,237
324,519,1742,642,243,940,237
325,519,1742,642,243,940,237
326,519,1742,642,243,940,237
327,519,1742,642,243,940,237
328,519,1746,642,243,940,237
329,521,1749,643,243,940,237
330,522,1764,646,243,940,237
331,524,1767,646,243,940,237
332,527,1770,649,243,940,237
333,527,1770,649,243,940,237
334,527,1770,649,243,940,237
335,527,1770,649,243,940,237
336,529,1771,650,243,940,237
337,529,1771,650,243,940,237
338,529,1771,650,243,940,237
339,529,1771,650,243,940,237
340,531,1778,653,243,940,237
341,531,1778,653,243,940,237
342,531,1778,653,243,940,237
343,531,1778,653,243,940,237
344,531,1778,653,243,940,237
345,531,1778,653,243,940,237
346,531,1778,653,243,940,237
347,531,1778,653,243,940,237
348,531,1778,653,243,940,237
349,531,1778,653,243,940,237
350,531,1789,657,243,940,237
351,532,1791,657,243,940,237
352,533,1793,658,243,940,237
353,533,1800,659,243,940,237
354,533,1800,659,243,940,237
355,533,1805,660,243,940,237
356,533,1805,660,243,940,237
357,533,1805,660,243,940,237
358,533,1805,660,243,940,237
359,535,1808,663,243,940,237
360,535,1808,663,243,940,237
361,535,1808,663,243,940,237
362,535,1808,663,243,940,237
363,535,1808,663,243,940,237
364,535,1808,663,243,940,237
365,535,1808,663,243,940,237
